folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,cd,periodo,sexo,edad,nivel,anio,cond_activ,p1,p2,p3,p3_8esp,p4,p4_8esp,p5,p6,p6_8esp,p7,p8,p9,p10,p11,p11_8esp,p12_1,p12_2,p12_3,p12_4,p13,p13_8esp,p14,p14_8esp,p15,p16,p17,p18,p18_8esp,obs,tipracsem,actfis,factor,upm_dis,est_dis
12A204,1,40005,3,1,0,1,14,1121,1,54,7,5,1,2,1,2,,0,,1,3,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,39568,1,3
12A204,1,40005,4,1,0,1,14,1121,2,51,8,2,7,2,1,5,,0,,1,2,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,8394,1,3
12A204,1,40005,1,1,0,1,14,1121,1,56,4,3,1,2,1,2,,0,,1,2,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,25267,1,3
12A204,1,40005,2,1,0,1,14,1121,2,28,7,5,1,1,0,0,,0,,0,0,,2,5,120,1,2,,0,0,3,0,4,,7,,3,1,1,0,,,360,11,19585,1,3
12A207,1,40007,3,1,0,2,14,1121,2,35,3,3,7,1,0,0,,0,,0,0,,2,5,60,1,1,,1,0,0,0,3,,7,,1,2,0,0,,,180,11,16087,2,3
12A207,1,40007,4,1,0,1,14,1121,1,51,6,3,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,23192,2,3
12A207,1,40007,2,1,0,2,14,1121,2,72,2,6,7,2,2,0,,3,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,12062,2,3
12A207,1,40007,1,1,0,1,14,1121,1,52,3,3,1,1,0,0,,0,,0,0,,3,5,90,2,2,,0,2,0,0,3,,7,,1,2,0,0,,,270,11,17394,2,3
12A198,1,40040,3,1,0,4,14,1121,1,24,4,3,1,1,0,0,,0,,0,0,,1,6,120,1,1,,1,0,0,0,1,,7,,3,1,2,0,,,240,12,24231,3,2
12A198,1,40040,2,1,0,3,14,1121,1,22,3,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,24231,3,2
12A198,1,40040,1,1,0,3,14,1121,2,19,4,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,27545,3,2
12A198,1,40040,4,1,1,2,14,1121,2,21,3,2,7,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,18363,3,2
11B193,1,40048,1,1,0,6,14,1121,2,28,4,3,7,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,42517,4,2
11B193,1,40048,2,1,0,2,14,1121,2,40,2,6,4,1,0,0,,0,,0,0,,2,4,120,1,1,,0,0,0,4,4,,7,,1,1,2,0,,,480,11,15888,4,2
11B193,1,40048,3,1,0,1,14,1121,1,43,3,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,19337,4,2
11B193,1,40048,4,1,0,1,14,1121,1,68,2,6,1,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,16860,4,2
12B191,1,40139,3,1,0,2,14,1121,2,59,2,6,7,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,23424,5,3
12B191,1,40139,2,1,0,5,14,1121,1,21,7,2,6,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,38766,5,3
12B191,1,40139,4,1,0,1,14,1121,1,56,7,4,1,1,0,0,,0,,0,0,,2,5,50,1,1,,1,0,0,0,4,,7,,1,1,1,0,,,150,11,7525,5,3
12B191,1,40139,1,1,0,1,14,1121,2,46,4,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,7500,5,3
12A205,1,40165,3,1,0,1,14,1121,2,41,2,6,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,6672,6,3
12A205,1,40165,4,1,0,3,14,1121,1,21,4,3,1,1,0,0,,0,,0,0,,1,6,120,2,1,,1,0,0,0,1,,3,,3,1,2,0,,,240,12,23732,6,3
12A205,1,40165,2,1,0,2,14,1121,2,39,3,3,7,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,20017,6,3
12A205,1,40165,1,1,0,2,14,1121,2,26,7,4,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,21426,6,3
11B192,1,40265,1,1,0,1,14,1121,2,74,2,4,9,2,2,0,,3,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,6546,7,2
11B192,1,40265,3,1,0,1,14,1121,1,38,2,6,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,14168,7,2
13A206,1,40294,4,1,0,1,14,1121,1,46,9,2,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,23120,8,4
13A206,1,40294,3,1,0,1,14,1121,1,42,4,3,4,1,0,0,,0,,0,0,,1,5,60,1,1,,1,0,0,0,1,,3,,3,1,1,0,,,180,11,39036,8,4
12B192,1,40302,4,1,0,2,14,1121,2,57,2,6,7,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,17958,9,2
12B192,1,40302,3,1,0,1,14,1121,1,33,2,1,1,2,1,2,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,14466,9,2
12B192,1,40302,1,1,0,1,14,1121,2,42,3,3,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,6267,9,2
12B192,1,40302,2,1,0,1,14,1121,1,27,3,3,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,14466,9,2
11A206,1,40324,4,1,0,1,14,1121,1,27,7,5,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,15397,10,2
11A206,1,40324,2,1,0,2,14,1121,2,64,2,6,7,1,0,0,,0,,0,0,,2,4,30,1,1,,0,0,0,4,4,,7,,1,1,1,0,,,120,12,12743,10,2
11A206,1,40324,3,1,0,1,14,1121,1,41,4,1,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,16237,10,2
11A206,1,40324,1,1,0,1,14,1121,2,60,2,6,1,1,0,0,,0,,0,0,,2,5,30,1,1,,0,0,0,4,4,,7,,1,1,2,0,,,90,12,12743,10,2
13A198,1,40359,3,1,0,1,14,1121,2,38,4,3,1,2,1,2,,0,,1,2,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,7002,11,3
13A198,1,40359,2,1,0,3,14,1121,2,39,6,3,7,1,0,0,,0,,0,0,,2,5,120,1,2,,0,0,0,4,4,,7,,1,1,2,0,,,360,11,21006,11,3
13A198,1,40359,1,1,0,3,14,1121,2,29,4,2,7,2,1,3,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,29980,11,3
13A198,1,40359,4,1,0,1,14,1121,2,62,6,3,7,1,0,0,,0,,0,0,,2,5,30,1,1,,0,0,0,4,4,,6,,1,1,1,0,,,90,12,20065,11,3
11A207,2,40007,2,1,0,1,21,1121,2,34,2,6,1,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,7386,12,2
11A207,2,40007,3,1,0,1,21,1121,1,34,4,3,1,1,0,0,,0,,0,0,,1,5,40,1,1,,0,0,3,0,4,,2,,3,1,2,0,,,120,12,15926,12,2
11A207,2,40007,4,1,0,2,21,1121,2,30,3,3,1,2,1,6,,0,,1,3,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,22157,12,2
11A204,2,40034,3,1,0,2,21,1121,1,41,3,2,1,1,0,0,,0,,0,0,,1,7,60,1,4,,0,2,0,0,3,,7,,1,2,0,0,,,60,12,25585,13,2
11A204,2,40034,1,1,0,3,21,1121,2,24,4,3,1,1,0,0,,0,,0,0,,2,3,120,2,2,,1,0,0,0,3,,7,,1,1,2,0,,,600,11,28332,13,2
12A207,2,40043,3,1,0,2,21,1121,1,21,4,3,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,30314,14,3
12A207,2,40043,2,1,0,3,21,1121,1,25,4,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,22132,14,3
12A207,2,40043,4,1,0,3,21,1121,2,20,3,3,7,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,34460,14,3
12A207,2,40043,1,1,0,2,21,1121,2,51,3,3,7,1,0,0,,0,,0,0,,2,6,60,2,2,,1,0,0,0,4,,2,,1,1,1,0,,,120,12,11730,14,3
